ID,Source,Label,Human_annotation_median,Sentence,Category,Split
EsCoLA_5681,GDE35,1,1,¿Opinaron si debían hacerlo?,7,train
EsCoLA_8872,GDE51,1,1,¿Quién ha llamado?,7,train
EsCoLA_5661,GDE35,1,0,No se sabe donde ir.,7,train
EsCoLA_7328,GDE42,0,1,"Sólo tenía una peseta, y aquel tipo me pedía doscientos.",14,train
EsCoLA_6179,GDE36,1,1,No sabe qué creer.,10,train
EsCoLA_4245,GDE30,1,1,Los niños le molestan.,14,train
EsCoLA_1008,GDE08,1,1,"Puntualmente, al cabo de una hora, los huéspedes aparecieron en la explanada.",3,train
EsCoLA_1473,GDE12,0,0,Se produjo una obtención de los resultados esperados.,11,train
EsCoLA_5590,GDE35,1,1,Había terminado de investigar quién había insultado a quién: Juan a Manolo.,7,train
EsCoLA_9142,GDE52,1,1,Van vendidas la mitad de las acciones.,9,train
EsCoLA_6878,GDE40,1,1,Vi a Juan preocupado por el asunto.,11,train
EsCoLA_6034,GDE36,1,1,El jefe pretende negociar él mismo con los sindicatos.,6,train
EsCoLA_3855,GDE27,1,1,Aquí huele a quemado.,3,train
EsCoLA_6702,GDE38,0,0,El accidente fue aquí de aquí.,3,train
EsCoLA_4965,GDE32,0,0,Eva nos valió que tuviéramos que volver a casa andando.,8,train
EsCoLA_10559,GDE65,0,0,Del cajón del escritorio de Juan es de lo que me gusta el tirador.,7,train
EsCoLA_7406,GDE42,0,0,"Pedí ayuda a determinados, pero me la negaron.",13,train
EsCoLA_3453,GDE24,1,1,Guillermo preparó una torta.,1,train
EsCoLA_2886,GDE19,1,1,Me lo entregó.,14,train
EsCoLA_2457,GDE17,0,0,Es la tercera la parte de toda «La Busca» más bonita.,13,train
EsCoLA_885,GDE07,1,1,No sé las veces que se lo he dicho.,7,train
EsCoLA_3764,GDE26,1,1,Parece verse las montañas desde aquí.,5,train
EsCoLA_6840,GDE40,1,1,Juan nunca dice lo que piensa.,9,train
EsCoLA_371,GDE04,0,0,Es decidido a dar el paso.,14,train
EsCoLA_6846,GDE40,1,0,No recuerdo dónde fue nadie el verano pasado.,9,train
EsCoLA_6327,GDE37,1,1,Juan es un compositor.,2,train
EsCoLA_9944,GDE60,1,1,"De verdad, ¿estuviste aquí ese día?",3,train
EsCoLA_10373,GDE65,1,1,Juan lo hizo con prontitud.,3,train
EsCoLA_2111,GDE17,1,1,Juan compró más libros que esos.,13,train
EsCoLA_1075,GDE08,1,1,El ángel de tu mujer no sé si estará dispuesta a prepararnos la cena si llegamos tan tarde.,14,train
EsCoLA_3881,GDE27,1,1,Me da igual que te vayas o que te quedes.,14,train
EsCoLA_7384,GDE42,1,1,"Que hablen y digan, que eso poco me importa.",12,train
EsCoLA_9437,GDE56,1,1,Los bomberos se han concentrado porque se temen incendios.,12,train
EsCoLA_4882,GDE32,1,0,Juan piensa comprender.,10,train
EsCoLA_81,GDE01,1,1,Los directores acordaron el despido por unanimidad.,3,train
EsCoLA_2713,GDE19,1,1,Nos llamó a nosotros.,14,train
EsCoLA_4061,GDE29,1,1,Y se servía de la inmovilidad a que condenaba a sus clientes.,7,train
EsCoLA_8261,GDE48,0,0,Llega el invitado desde hace varias horas.,3,train
EsCoLA_410,GDE04,1,1,El reo fue defendido vigorosamente por su joven abogado.,4,train
EsCoLA_2853,GDE19,0,0,Me la permitieron educar.,14,train
EsCoLA_5245,GDE32,1,1,La administración avisó a los estudiantes de que debían matricularse antes de mediados de mayo.,14,train
EsCoLA_727,GDE06,0,0,Ocurrió la salida real del palacio.,11,train
EsCoLA_4014,GDE29,1,1,Y volvieron a gozar de ocasiones de gol.,4,train
EsCoLA_8090,GDE48,1,1,Hacía un año que salían juntos.,3,train
EsCoLA_4177,GDE30,1,1,Me remitió la carta.,14,train
EsCoLA_7014,GDE40,1,1,¿Qué le han regalado a Luisa? Ni lo que quería ni lo que necesitaba.,9,train
EsCoLA_8891,GDE51,1,1,Volví a tener que estudiar.,9,train
EsCoLA_7460,GDE42,1,0,La pata del gallo pelado la compré en la carnicería.,14,train
EsCoLA_7661,GDE42,0,0,María es alumno nuestro.,14,train
EsCoLA_9114,GDE52,0,0,¿Cómo van cuatro resoluciones?,7,train
EsCoLA_9589,GDE57,1,1,"Pagando con dólares, uno no tenía ningún problema.",3,train
