"Item","Frequency"
"de","71143538"
",","57568049"
"la","38911836"
".","38462549"
"que","30267030"
"en","29079631"
"y","29015646"
"el","28464470"
"a","20083204"
"los","16436561"
"del","11871162"
"se","11424581"
"las","11341356"
"un","11095025"
"con","10912303"
"por","9891018"
"para","9734624"
"""","9319546"
"una","9122083"
"es","8074934"
"no","7961383"
"su","5961792"
"al","5452454"
"como","5294635"
")","5264922"
"lo","5110197"
"(","5010141"
"más","4838670"
":","4755173"
"o","4396263"
"ha","3435610"
"este","2903226"
"si","2555979"
"pero","2537345"
"sus","2515360"
"esta","2256269"
" -","2017762"
"...","1950528"
"sobre","1920307"
"son","1913406"
"ya","1834746"
"también","1798029"
"?","1793927"
"me","1759834"
"sin","1708131"
";","1703291"
"muy","1680780"
"todo","1673720"
"entre","1623454"
"desde","1606090"
"ser","1553275"
"está","1437610"
"han","1435476"
"le","1427738"
"nos","1411291"
"puede","1359647"
"cuando","1337531"
"¿","1334603"
"años","1288172"
"todos","1238309"
"hay","1233045"
"dos","1208221"
"hasta","1194132"
"así","1172998"
"tiene","1152812"
"te","1084880"
"parte","1059147"
"'","1058845"
"!","1055724"
"cada","1042798"
"porque","995580"
"%","993050"
"e","984999"
"fue","978603"
"tu","941451"
"donde","918615"
"año","898848"
"mi","894555"
"vez","893995"
"forma","887243"
"además","885050"
"tiempo","874566"
"uno","864036"
"día","863980"
"bien","861906"
"durante","839206"
"hacer","837552"
"gran","832488"
"tanto","828531"
"otros","824185"
"hace","814085"
"qué","789502"
"–","787215"
"estos","786221"
"personas","778268"
"mismo","761730"
"mejor","742341"
"vida","738344"
"trabajo","738102"
"españa","725561"
"aunque","724208"
"ni","718740"
"/","714935"
"caso","712389"
"sido","688787"
"solo","684859"
"mundo","679716"
"están","676237"
"siempre","675618"
"ahora","674338"
"otro","671484"
"menos","665275"
"eso","662707"
"esto","656544"
"pueden","651853"
"cuenta","650696"
"era","649468"
"mucho","640113"
"información","615493"
"nuevo","615256"
"todas","611313"
"estado","608289"
"tener","600757"
"nuestro","598963"
"después","597591"
"tipo","591496"
"ese","590590"
"ver","588477"
"1","587067"
"mayor","586002"
"según","585198"
"antes","583528"
"estas","582012"
"yo","579373"
"otra","578366"
"algo","575603"
"lugar","572149"
"sea","571255"
"otras","569179"
"poco","566140"
"2","564317"
"nuestra","563840"
"tan","563739"
"sólo","560230"
"tres","557573"
"unos","553895"
"momento","552485"
"hecho","545200"
"primera","544323"
"sistema","537588"
"gobierno","536480"
"les","534477"
"tienen","531816"
"cómo","526782"
"cualquier","526370"
"general","521450"
"días","515666"
"hoy","515384"
"datos","508378"
"tras","504642"
"grupo","502672"
"contra","497211"
"esa","490758"
"través","488868"
"ellos","488390"
"nueva","486433"
"¡","486192"
"poder","483952"
"3","482275"
"sino","477304"
"manera","475016"
"sí","473783"
"casa","471835"
"había","469693"
"madrid","468755"
"toda","465769"
"he","465095"
"algunos","463179"
"ciudad","459070"
"muchos","458884"
"gracias","455451"
"nada","454070"
"ello","448971"
"empresa","447545"
"primer","445436"
"servicios","439439"
"debe","436194"
"social","435613"
"centro","433924"
"]","432197"
"decir","429713"
"[","425399"
"va","423522"
"pues","423329"
"empresas","422919"
"país","421836"
"euros","421666"
"ante","420807"
"historia","420784"
"será","415814"
"importante","413623"
"mientras","412331"
"pasado","411532"
"calidad","409799"
"desarrollo","409396"
"servicio","409267"
"aquí","408693"
"diferentes","408326"
"medio","405359"
"muchas","404766"
"proyecto","400952"
"ejemplo","400420"
"él","393975"
"dentro","390112"
"hemos","388164"
"uso","386668"
"seguridad","386389"
"horas","384726"
"equipo","383550"
"nivel","375406"
"4","371311"
"posible","366805"
"agua","366532"
"número","362897"
"estar","362724"
"nuestros","361925"
"incluso","360939"
"productos","360149"
"5","359553"
"punto","357264"
"cual","357042"
"cosas","355901"
"grandes","352749"
"final","351693"
"nacional","348110"
"fin","347495"
"misma","347124"
"&","344371"
"hacia","343443"
"ley","340901"
"casi","339789"
"proceso","336517"
"embargo","335428"
"situación","335027"
"web","332492"
"podemos","331182"
"salud","329719"
"quien","329602"
"tal","328375"
"unas","327892"
"veces","327881"
"10","327506"
"parece","325016"
"bajo","323052"
"ella","321631"
"zona","319800"
"persona","316977"
"dar","316859"
"mercado","316709"
"meses","316203"
"programa","315760"
"mas","312921"
"niños","312754"
"puedes","311614"
"experiencia","308637"
"tenemos","307563"
"cambio","306155"
"semana","305200"
"sector","304275"
"algunas","302552"
"real","301703"
"personal","301284"
"san","299654"
"nosotros","299592"
"buena","298635"
"derecho","294385"
"presidente","294284"
"tus","294067"
"total","293101"
"da","292324"
"gente","291006"
"sociedad","290901"
"actividad","290748"
"estudio","290503"
"objetivo","290315"
"público","290281"
"relación","290070"
"problemas","289745"
"precio","289722"
"política","289512"
"acuerdo","289437"
"universidad","288514"
"nombre","286885"
"artículo","286232"
"tengo","286183"
"mujeres","284635"
